timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperature,timestamp_utc,timezone
2022-02-01 13:51:52+01:00,46.44049594178796,11.31466856226325,7.213550000000001,245.20000000000005,245.20000000000005,29.426399999999997,29.426399999999997,140,,,12,2022-02-01 12:51:52,Europe/Rome
2022-02-01 13:51:54+01:00,46.440363423898816,11.314756572246552,7.2297,245.0,245.0,29.426399999999997,29.426399999999997,139,,,12,2022-02-01 12:51:54,Europe/Rome
2022-02-01 13:52:02+01:00,46.439818600192666,11.315079862251878,7.2954,244.79999999999995,244.79999999999995,29.6928,29.6928,139,,,12,2022-02-01 12:52:02,Europe/Rome
2022-02-01 13:52:03+01:00,46.43974794074893,11.315113808959723,7.3037600000000005,244.79999999999995,244.79999999999995,30.063600000000005,30.063600000000005,139,,,12,2022-02-01 12:52:03,Europe/Rome
2022-02-01 13:52:11+01:00,46.43916347064078,11.315364008769393,7.371779999999999,244.79999999999995,244.79999999999995,31.4064,31.4064,139,,,12,2022-02-01 12:52:11,Europe/Rome
2022-02-01 13:52:14+01:00,46.43893640488386,11.315444307401776,7.397060000000001,244.79999999999995,244.79999999999995,30.063600000000005,30.063600000000005,140,,,12,2022-02-01 12:52:14,Europe/Rome
2022-02-01 13:52:21+01:00,46.43842971883714,11.315572382882237,7.4545900000000005,244.60000000000002,244.60000000000002,31.0392,31.0392,137,,,12,2022-02-01 12:52:21,Europe/Rome
2022-02-01 13:52:22+01:00,46.43835101276636,11.315589984878898,7.46357,244.39999999999998,244.39999999999998,32.346,32.346,135,,,12,2022-02-01 12:52:22,Europe/Rome
2022-02-01 13:52:26+01:00,46.43801925703883,11.315705236047506,7.5008,244.20000000000005,244.20000000000005,32.0796,32.0796,134,,,12,2022-02-01 12:52:26,Europe/Rome
2022-02-01 13:52:31+01:00,46.43763234838843,11.315733650699258,7.54275,244.0,244.0,29.4588,29.4588,137,,,12,2022-02-01 12:52:31,Europe/Rome
2022-02-01 13:52:32+01:00,46.4375580009073,11.315729124471545,7.550979999999999,244.0,244.0,29.592000000000002,29.592000000000002,138,,,12,2022-02-01 12:52:32,Europe/Rome
